var_error,es_error,kurtosis,mean,w2,mean_error,var_of_returns_error,acf_returns_lag1,acf_returns_lag5,acf_returns_lag20,acf_abs_lag1,acf_abs_lag5,acf_abs_lag20,acf_sq_lag1,acf_sq_lag5,acf_sq_lag20,generation,seed,condition,alpha
0.013761591,0.019103374,1.820164343,0.001307569,0.004399942,0.001079972,5.78E-05,0.061228226,0.034164109,-0.006629652,0.109479616,0.067117117,-0.005098063,0.144821384,0.110150088,-0.003126281,0,0,accumulation,0.9
0.017234393,0.022611551,2.279847258,-0.000953578,0.006358564,0.001181174,0.000119156,0.162503793,-0.111886335,-0.008683752,0.182111512,0.111009205,-0.012454665,0.26293102,0.174405967,-0.011633797,1,0,accumulation,0.9
0.006247705,0.00818409,2.959541453,-0.004638608,0.007375788,0.004866205,9.94E-05,0.148924749,0.102181464,-0.011448196,0.157448313,0.0956044,-0.01257463,0.167030403,0.086564306,-0.011629409,2,0,accumulation,0.9
0.017457921,0.022994464,1.086807783,0.005218086,0.006609505,0.004990489,5.84E-05,0.058037537,0.012116942,-0.013205672,0.113569083,0.052584608,-0.00944205,0.187273756,0.090072865,-0.009152163,3,0,accumulation,0.9
0.004899656,0.00898407,2.384117947,-0.006244374,0.008094922,0.006471971,9.03E-05,0.004935978,-0.000385252,-0.00984825,0.111235962,0.046195082,-0.006679062,0.153813609,0.081665863,-0.006202709,4,0,accumulation,0.9
0.01628352,0.022992827,4.094434333,6.58E-07,0.004819139,0.000226939,7.80E-05,0.130580887,0.08246015,-0.012696768,0.105257526,0.026555993,-0.013996401,0.122670441,0.026040185,-0.013309811,5,0,accumulation,0.9
0.019697035,0.025962863,1.317931397,0.00150929,0.006165279,0.001281693,0.000111483,0.067080876,-0.039878988,-0.015218116,0.114847127,0.023571378,-0.009410764,0.197629674,0.040730332,-0.008184479,6,0,accumulation,0.9
0.008991002,0.013628699,1.195013689,-0.007069319,0.00955559,0.007296916,0.000112824,0.057658061,0.002766406,-0.003985937,0.077559668,0.00461164,-0.006344877,0.123736581,0.010115105,-0.006086418,7,0,accumulation,0.9
0.019319485,0.026438292,2.945042618,-0.000578393,0.006422873,0.00080599,0.000117717,0.075136855,0.006317255,-0.008849666,0.081720421,-0.007613661,-0.012076801,0.098128146,-0.009761651,-0.011505713,8,0,accumulation,0.9
0.010233656,0.014965638,1.056575033,-0.004829316,0.007660017,0.005056913,0.000102989,0.051952126,-0.013568501,-0.011532053,0.067710215,-0.012536316,-0.009508117,0.078868156,-0.01258566,-0.010428542,9,0,accumulation,0.9
0.014782775,0.018753716,1.065128383,0.004137978,0.006025568,0.003910381,6.91E-05,0.049992808,-0.014207275,-0.0115554,0.030661117,-0.009264367,-0.010173391,0.035532261,-0.01020259,-0.011942471,10,0,accumulation,0.9
0.022308314,0.028491242,2.046286907,0.001207479,0.007191948,0.000979882,0.00013078,-0.016360874,-0.006051945,-0.009352133,0.054420236,-0.013082612,-0.009968361,0.083540382,-0.013185705,-0.009507205,11,0,accumulation,0.9
