var_error,es_error,kurtosis,mean,w2,mean_error,var_of_returns_error,acf_returns_lag1,acf_returns_lag5,acf_returns_lag20,acf_abs_lag1,acf_abs_lag5,acf_abs_lag20,acf_sq_lag1,acf_sq_lag5,acf_sq_lag20,generation,seed,condition,alpha
0.013761591,0.019103374,1.820164343,0.001307569,0.004399942,0.001079972,5.78E-05,0.061228226,0.034164109,-0.006629652,0.109479616,0.067117117,-0.005098063,0.144821384,0.110150088,-0.003126281,0,0,replacement,1
0.017430146,0.022849587,2.199316685,-0.000895229,0.006401063,0.001122826,0.000119956,0.15898498,-0.110723138,-0.009656121,0.17974687,0.110492506,-0.012795268,0.257056198,0.173658204,-0.011866137,1,0,replacement,1
0.006628623,0.008744936,2.862073862,-0.004957858,0.00766645,0.005185455,0.000101959,0.141812645,0.099121874,-0.012905468,0.152560271,0.095940393,-0.013355987,0.162036754,0.087170187,-0.012299033,2,0,replacement,1
0.018013316,0.023431793,1.005889539,0.00577438,0.007074226,0.005546783,6.13E-05,0.053159782,0.006098874,-0.012739736,0.105274928,0.046241805,-0.010265152,0.177076813,0.079851942,-0.010000984,3,0,replacement,1
0.016946185,0.020663552,2.314960792,0.002446509,0.005658039,0.002218912,9.81E-05,0.017673264,-0.01782154,-0.006702386,0.144663421,0.061886674,-0.006854586,0.179526541,0.091478601,-0.004358836,4,0,replacement,1
0.017579514,0.024274526,4.096760752,0.001486849,0.004896005,0.001259251,7.45E-05,0.139310027,0.073783528,-0.012474559,0.129597433,0.034373698,-0.014376803,0.14827654,0.0306195,-0.01342181,5,0,replacement,1
0.019373253,0.025772854,1.518132348,0.001628808,0.005877987,0.001401211,0.000104602,0.063892424,-0.023872115,-0.014817778,0.134507499,0.020487025,-0.009636574,0.241080686,0.035835723,-0.008500694,6,0,replacement,1
0.005309674,0.011161931,0.653529964,-0.0095871,0.011370378,0.009814697,0.000101401,0.093910908,-0.021786321,0.000375227,0.086137114,-0.01802146,-0.003625867,0.122682886,-0.025524969,-0.006297953,7,0,replacement,1
0.019166405,0.02612327,3.849053591,-0.000446221,0.0061772,0.000673818,0.000113778,0.088059016,-0.005631561,-0.008845378,0.107142888,-0.010003562,-0.012182569,0.1260423,-0.011987679,-0.011830751,8,0,replacement,1
0.008483528,0.012275267,1.319942825,-0.00451991,0.007132551,0.004747507,9.27E-05,0.064002806,-0.014036187,-0.011666544,0.08178304,-0.014065531,-0.010473729,0.097302965,-0.01425634,-0.01057726,9,0,replacement,1
0.009908021,0.012367941,1.437432735,0.002195825,0.004669789,0.001968228,5.68E-05,0.060377796,-0.016740485,-0.010891135,0.050631396,-0.008089898,-0.011434287,0.057967672,-0.009306046,-0.012984479,10,0,replacement,1
0.022943163,0.030059091,2.547416762,0.001437386,0.007081888,0.001209789,0.000128335,0.016501902,-0.010436841,-0.012975152,0.070760386,-0.014061883,-0.011151462,0.120022371,-0.014512086,-0.009670237,11,0,replacement,1
0.014449904,0.020885562,0.717084564,-0.004574829,0.008219889,0.004802426,0.000121184,0.057318778,-0.00694678,-0.008305229,0.045586569,-0.008576527,-0.008497261,0.050981511,-0.009230505,-0.009863547,12,0,replacement,1
0.022513405,0.028925942,0.510932228,0.006104557,0.00825462,0.00587696,0.000101165,0.016006605,-0.005218881,-0.010348158,0.023947107,-0.003951954,-0.010491034,0.022650991,-0.005664071,-0.010831919,13,0,replacement,1
0.02582037,0.033452163,2.206751643,0.00213516,0.008396286,0.001907563,0.000143794,0.000574651,-0.008785719,-0.012051612,0.020620558,-0.008295848,-0.008872756,0.020957282,-0.008519649,-0.008898473,14,0,replacement,1
0.005358503,0.007345311,2.00409948,-0.002806215,0.005614554,0.003046816,7.58E-05,0.078093028,0.091236406,-0.003696192,0.10961969,0.075340719,-0.013279609,0.111738141,0.075442073,-0.011933099,0,1,replacement,1
0.01984068,0.026886116,2.784258217,0.000924287,0.005857995,0.000683686,0.000107616,0.074922037,0.062281327,-0.006960241,0.124703768,0.080674665,-0.012199779,0.181495132,0.136256904,-0.010240919,1,1,replacement,1
