var_error,es_error,kurtosis,mean,w2,mean_error,var_of_returns_error,acf_returns_lag1,acf_returns_lag5,acf_returns_lag20,acf_abs_lag1,acf_abs_lag5,acf_abs_lag20,acf_sq_lag1,acf_sq_lag5,acf_sq_lag20,generation,seed,condition
0.00263054,0.003274112,0.494062124,-0.000110752,0.00153215,0.000359511,3.44E-05,0.145900277,-0.054179881,0.071097947,-0.018899588,-0.01989766,-0.014965594,-0.018976549,-0.018281147,-0.019530858,0,0,replacement
0.004052789,0.004613324,0.645369686,-0.00013632,0.001665528,0.000385079,3.62E-05,0.178524779,-0.047497417,-0.029615026,-0.009671229,-0.044591953,-0.068491339,-0.013952939,-0.053471388,-0.077366744,1,0,replacement
0.00879799,0.011182009,0.761994414,-3.87E-05,0.001366659,0.000287502,1.64E-05,0.196397716,-0.004087201,0.002242803,-0.066737538,-0.06713548,-0.139569943,-0.066362759,-0.072583324,-0.12788528,2,0,replacement
0.009141305,0.014278809,0.543206792,0.000317624,0.001940363,6.89E-05,3.21E-05,0.17946827,-0.049314798,0.033215277,-0.144031781,-0.138130378,-0.076052639,-0.100140999,-0.094247767,-0.083042004,3,0,replacement
0.00674058,0.007177553,0.16336786,0.000335156,0.001495424,8.64E-05,3.17E-05,0.183037033,-0.002493914,0.00384856,-0.058182506,-0.086602196,0.111898775,-0.099483446,-0.074655969,0.053490679,4,0,replacement
0.007800141,0.005738432,0.095936904,0.000422598,0.001620933,0.000173839,3.46E-05,0.206092516,0.014960678,0.017011821,-0.070681816,-0.082112137,0.097306724,-0.097178515,-0.072961697,0.050267472,5,0,replacement
0.005038655,0.002267561,0.045496441,0.000285098,0.001563318,3.63E-05,3.07E-05,0.189434044,-0.012326213,0.021343668,-0.071224915,-0.074707023,0.035293858,-0.102605558,-0.07502078,-0.015819486,6,0,replacement
0.03122621,0.030373379,0.382385375,0.000932379,0.01093721,0.00068362,0.000388278,-0.03476958,-0.212128119,-0.026695665,0.070459215,0.061655424,0.025826152,0.095575321,0.000738121,-0.010057163,7,0,replacement
0.03869513,0.040526739,0.345121491,0.000808146,0.012375966,0.000559387,0.000457781,-0.004765714,-0.176093058,0.0636063,-0.063581458,-0.022360404,0.058810066,-0.007654248,-0.056856563,0.033345846,8,0,replacement
0.037606086,0.041622794,0.398925741,0.001525404,0.012106695,0.001276645,0.000440212,-0.011796126,-0.182920236,0.09794473,-0.090322301,-0.004312678,0.080716474,-0.049375675,-0.043178788,0.075085209,9,0,replacement
