var_error,es_error,kurtosis,mean,w2,mean_error,var_of_returns_error,acf_returns_lag1,acf_returns_lag5,acf_returns_lag20,acf_abs_lag1,acf_abs_lag5,acf_abs_lag20,acf_sq_lag1,acf_sq_lag5,acf_sq_lag20,generation,seed,condition
0.006132172,0.003411813,0.184771946,-0.000784453,0.003344321,0.001005269,5.52E-05,0.009196406,0.023560462,0.015104513,0.022768176,-0.017176786,-0.008036176,0.024906438,-0.020073648,-0.011872161,0,0,replacement
0.007104229,0.003053723,0.278384312,-6.21E-05,0.003473742,0.000282896,6.82E-05,0.02368448,0.021248949,-0.026955693,-0.024302286,-0.062994806,-0.056731707,-0.016100651,-0.064534472,-0.065985486,1,0,replacement
0.003720101,0.007261647,0.102875595,-0.000406927,0.00320113,0.000627743,4.55E-05,0.040264912,0.048113129,-0.025918364,0.005663051,-0.05280967,-0.019402541,0.005006263,-0.054425456,-0.038890731,2,0,replacement
0.001498725,0.01103512,0.152880177,-0.000157362,0.00329858,0.000378178,4.42E-05,0.072137577,0.072954437,-0.045396017,0.036118111,-0.047294303,-0.01396319,-0.01085798,-0.060661472,-0.04534669,3,0,replacement
0.000256548,0.012316657,0.075389733,-8.51E-05,0.003470093,0.000305916,3.62E-05,0.070621319,0.049346696,-0.09326301,0.003362594,-0.171950591,0.050080224,-0.028658255,-0.151400675,-0.016594691,4,0,replacement
0.004057783,0.007660253,0.19652174,-0.000362724,0.003224176,0.00058354,3.32E-05,0.08741803,0.059311001,-0.065576774,-0.002302464,-0.199316016,0.029793043,-0.037445771,-0.160241228,-0.02041493,5,0,replacement
0.002639458,0.009928985,0.329180925,-0.00095237,0.003556109,0.001173185,4.09E-05,0.099683926,0.028109132,-0.087327304,-0.028565597,-0.151439845,0.029820422,-0.055921576,-0.123845424,-0.023956495,6,0,replacement
0.011637686,0.001559092,-0.048440312,0.000197542,0.00603805,2.33E-05,0.00015458,0.248811004,-0.051130724,0.011367456,-0.068507683,-0.122170199,0.048289605,-0.054257116,-0.092139965,0.073157787,7,0,replacement
0.008781608,0.005232288,-0.212715531,0.000348955,0.006283471,0.000128139,0.000156467,0.271941488,-0.048052261,0.029512981,-0.09644421,-0.115661146,0.058288287,-0.056878091,-0.075930685,0.064389605,8,0,replacement
0.00868979,0.004614228,-0.228257173,0.000515541,0.006353107,0.000294725,0.000160736,0.283236811,-0.062053426,0.036717362,-0.074952774,-0.091909611,0.008659425,-0.065135924,-0.037161238,-0.0039787,9,0,replacement
0.007767905,0.006267587,-0.167174917,0.000374618,0.006905356,0.000153802,0.000180144,0.288717707,-0.072467517,0.035921174,-0.018616829,-0.134803473,0.059798409,-0.037904331,-0.070444789,0.023339042,10,0,replacement
0.009587733,0.003978698,-0.138187529,-0.000362482,0.008177114,0.000583297,0.000233839,0.293933825,-0.065881237,0.044982956,0.021263785,-0.105202794,0.074728252,0.021700476,-0.079665945,0.005194755,11,0,replacement
0.013991679,0.003821323,-0.134665873,0.00079828,0.011389017,0.000577464,0.000396892,0.27080847,-0.153226134,0.092867522,0.044561722,-0.024754471,0.018687973,0.063024276,0.051421551,-0.030612849,12,0,replacement
